system:index,date,pdd_degCday,precip_mm,precip_volume_m3,snowfall_mm_we,snowfall_volume_m3,source,ssrd_wm2,t2m_C,timestamp,.geo
2594,2007-02-07,3.6725209488742725,9.238451510647343,1566771.7233534895,0.0,0.0,ERA5-Land Daily,1700.595603453359,3.6725209488742725,1170806400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2595,2007-02-08,0.25803356110901604,18.00016397668413,3052692.099091687,0.011762879584583101,1994.8956918912775,ERA5-Land Daily,4357.244512505171,0.25803356110901604,1170892800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2596,2007-02-09,1.5959424995655065,36.52760383751679,6194806.212764283,0.0108818331850129,1845.476865130312,ERA5-Land Daily,3474.6639255366645,1.5959424995655065,1170979200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2597,2007-02-10,2.6050912588875583,17.999221550795394,3052532.270766331,2.56482120507152E-4,43.497433903638054,ERA5-Land Daily,1765.0222416281465,2.6050912588875583,1171065600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2598,2007-02-11,0.0,17.177523492240308,2913178.475187621,2.0668824549265885,350527.68119659816,ERA5-Land Daily,4787.729953200672,-0.5959650749843042,1171152000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2599,2007-02-12,0.0,39.05257167911705,6623021.721828417,17.385891681606143,2948516.149122318,ERA5-Land Daily,3815.461729473884,-0.6800656890956194,1171238400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2600,2007-02-13,0.1798345214523509,24.371807844521356,4133274.8603802742,5.645447348713407,957425.3067682458,ERA5-Land Daily,3915.730252968558,0.1798345214523509,1171324800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2601,2007-02-14,1.0077089311469167,42.526619517237506,7212194.042760268,13.145388576933895,2229358.793635194,ERA5-Land Daily,2257.3962382266523,1.0077089311469167,1171411200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2602,2007-02-15,3.4979076846856367,10.5877621250835,1795604.6305006272,1.1586025896213457,196490.26397234996,ERA5-Land Daily,2752.55537385823,3.4979076846856367,1171497600000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2603,2007-02-16,3.3515777549326295,1.2894611642396827,218682.89162581123,0.0024547223017713595,416.3023951219578,ERA5-Land Daily,2013.1772564571795,3.3515777549326295,1171584000000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2604,2007-02-17,3.0529963070792414,2.9588412651417806,501797.1705293686,0.0012273611508856798,208.1511975609789,ERA5-Land Daily,4320.686395927518,3.0529963070792414,1171670400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2605,2007-02-18,1.9464578189387611,29.529620426476484,5008000.987204736,0.0,0.0,ERA5-Land Daily,2191.3001191902913,1.9464578189387611,1171756800000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2606,2007-02-19,2.4636602614922785,64.73094231861546,1.0977879781470656E7,0.0,0.0,ERA5-Land Daily,1410.949998075108,2.4636602614922785,1171843200000,"{""type"":""MultiPoint"",""coordinates"":[]}"
