date,albedo_i1,albedo_i2,albedo_i3,albedo_broadband,product,source
2017-06-17,0.45674970380287805,0.38448888083282473,0.10055585296856832,0.3024432597805538,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-18,0.4475621150223324,0.35414148936176615,0.10377072462477267,0.2959955539537214,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-19,0.43515714343969625,0.3759378514244452,0.10284888155886242,0.2962114843160204,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-20,0.43450782290403595,0.37497472023527745,0.10189461156619802,0.29533029423441626,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-21,0.4450349727299372,0.3884160443625682,0.10280287850967897,0.30401675333228734,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-22,0.4223442218003395,0.3561390634023971,0.07581630775095641,0.2773627479282757,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-23,0.42147610482136527,0.3551370570913425,0.07512756000302694,0.2765577860032944,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-24,0.4253327745489767,0.34733397547015893,0.07355115113377683,0.2655316119472171,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-25,0.3815981804049386,0.3110417355456542,0.0688038112406568,0.23734888527282533,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-26,0.3797511462175297,0.37061210027274105,0.07787662146800228,0.24142066662191813,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-27,0.4022116012906185,0.44402358602465264,0.08691561649424726,0.2600470673161685,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-28,0.40279324571914776,0.4460900066002298,0.08868964589562789,0.2610516081556674,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-29,0.39336287296285005,0.36992367652478403,0.058138320862239336,0.24973886444378293,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-06-30,0.3693404459090682,0.38141300570766773,0.05962790076809537,0.2385009207688601,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-01,0.3823803782274516,0.34091896322696635,0.061493052264399786,0.23923694519720426,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-02,0.3813532728474776,0.33701462386046244,0.06022283704315635,0.23994753009415815,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-03,0.3717731823397658,0.35741614437119623,0.10952656029693984,0.26627057677029187,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-04,0.3709662774932786,0.35651144668111706,0.10879731904778453,0.2655713715383127,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-05,0.43457387030875055,0.3727313446223015,0.13061312205786785,0.29241193414397665,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-06,0.434476843011591,0.3723892317772091,0.13008699327487203,0.29223629175059235,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-07,0.4356287457999491,0.38474357037524487,0.16133088542195467,0.30156998083463593,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-08,0.4345669683590396,0.38316501191100666,0.16193002771189557,0.30029744193772717,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-09,0.4273312205934698,0.3787326439271187,0.15983257235839116,0.29576807155425094,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-10,0.43066666367301754,0.3808469518854447,0.16955308374220118,0.3013282024881766,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-11,0.4246910565775281,0.37885013123261924,0.16451007131881518,0.29653568880201836,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-12,0.4070586442584177,0.31619032110230255,0.14840920896397605,0.2786206620616144,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-13,0.4454097452582123,0.33982230454096657,0.13463370770996402,0.2949520686222467,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-14,0.4548120558271839,0.35096542952204135,0.12073053544106778,0.30361173762909877,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-15,0.4472467429199595,0.321038204332262,0.13573047100478122,0.28658245206008365,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-16,0.44819849877306334,0.3217087964370105,0.13505512090704042,0.28705124252021064,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-17,0.46859116787204963,0.3714885613789268,0.17032979014866473,0.3236102956987122,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-18,0.47225466526909277,0.3762847652840871,0.16781585329580542,0.3254019022240658,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-19,0.4740497790263601,0.3960458531156061,0.15841373502311876,0.3312018965539284,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-20,0.4524795227298475,0.37328770361367664,0.14923591302731126,0.311610142089124,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-21,0.44678909730977845,0.36704992096220534,0.14080125984660607,0.30413934388023817,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-22,0.4256734616253999,0.3522269164903083,0.13925439957118038,0.2909000860519227,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-23,0.42099601213657456,0.35378756722801835,0.1391653896762861,0.28826565675249916,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-24,0.41852927608604357,0.35078646715648615,0.13228938253689002,0.28729082944102263,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-25,0.4171843599974813,0.3517346255853705,0.13050362320118186,0.2875276018460071,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-26,0.41893751697542975,0.34724534482222413,0.13619807605626444,0.2891046829144206,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-27,0.4116574108075966,0.34545589864590714,0.1359848100156504,0.28519886428378255,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-28,0.41387146371159944,0.3485282729347621,0.1381283210700127,0.2887558603715013,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-29,0.45494707552081814,0.39779063849645113,0.1423529888069665,0.3289892139753715,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-30,0.4509556560257848,0.40621719824554653,0.14899662728238736,0.33762819339586,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-07-31,0.45208924883825863,0.4025195325360243,0.14928987364797913,0.3369402722644113,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-01,0.4505893925459941,0.39884527753194865,0.13614744156141154,0.33011394182748266,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-02,0.4415801486493871,0.3796622604437052,0.131505131762104,0.31683851780293,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
