"sensor","year","month","mean_albedo","date","mean_temp","total_precip","total_snowfall","mean_radiation","season_sin","season_cos","time_trend"
"VIIRS",2017,7,0.295437323862822,2017-07-01,-0.57649385692057,1523.17157467905,733.043512641757,465.432314796307,-0.5,-0.866025403784439,5.49760438056126
"VIIRS",2017,8,0.343988010421992,2017-08-01,-0.56042706505253,1181.28615556184,452.967415337336,939.992848744863,-0.866025403784438,-0.5,5.58247775496235
"VIIRS",2017,9,0.380532014578462,2017-09-01,-1.27521295014673,1233.25120544384,756.475830234682,1836.56603046755,-1,-1.83697019872103e-16,5.66735112936345
"VIIRS",2017,10,0.401856440132402,2017-10-01,-1.04218582503634,1065.48430244865,440.302660825664,2948.34360523029,-0.866025403784439,0.5,5.74948665297741
"VIIRS",2017,11,0.443059690254286,2017-11-01,-0.481671659206187,826.825318421556,441.533103650353,4342.14295078802,-0.5,0.866025403784438,5.83436002737851
"VIIRS",2017,12,0.380792712704861,2017-12-01,1.80792370490868,1189.91412360804,26.1285992210813,4240.87042239151,-2.44929359829471e-16,1,5.91649555099247
"VIIRS",2018,1,0.352338410664662,2018-01-01,2.44188246502026,762.141429254293,41.8078074163415,4093.60414855515,0.5,0.866025403784439,6.00136892539357
"VIIRS",2018,2,0.318208308984246,2018-02-01,3.94106251387145,797.897301058315,33.0956321414278,2679.96124307268,0.866025403784439,0.5,6.08624229979466
"VIIRS",2018,3,0.280561351234568,2018-03-01,3.40137190765751,1602.47656846201,22.6658805837451,1436.26783697938,1,6.12323399573677e-17,6.16290212183436
"VIIRS",2018,4,0.296879052317655,2018-04-01,1.02014658325498,1329.43766902582,183.486863539149,1207.99353439603,0.866025403784439,-0.5,6.24777549623546
"VIIRS",2018,5,0.31094050039102,2018-05-01,-1.19366731967428,1840.3994708027,793.790846129272,690.468919275633,0.5,-0.866025403784439,6.32991101984942
"VIIRS",2018,6,0.331050582448868,2018-06-01,-0.893850905836652,1025.5754769302,481.070614015608,378.264628616793,1.22464679914735e-16,-1,6.41478439425051
"VIIRS",2018,7,0.248748100779031,2018-07-01,-2.2077890397666,1486.7741466583,1057.32566822502,521.680971552003,-0.5,-0.866025403784439,6.49691991786448
"VIIRS",2018,8,0.273005783740926,2018-08-01,-1.21360003722464,1612.87248121501,893.482191048288,982.79386093256,-0.866025403784438,-0.5,6.58179329226557
"VIIRS",2018,9,0.369646058186677,2018-09-01,-1.66798924452301,1457.30256261,1014.87050482539,1682.63764182627,-1,-1.83697019872103e-16,6.66666666666667
"VIIRS",2018,10,0.415470550292631,2018-10-01,-2.40103759945035,1080.01496821796,779.13210934048,2911.87163621343,-0.866025403784439,0.5,6.74880219028063
"VIIRS",2018,11,0.360100463431862,2018-11-01,0.277684359706451,1240.97798410443,412.516083544637,3522.04821548644,-0.5,0.866025403784438,6.83367556468172
"VIIRS",2018,12,0.363108970330299,2018-12-01,0.724975647008983,756.788626833759,192.275252828187,4221.35933326356,-2.44929359829471e-16,1,6.91581108829569
"VIIRS",2019,1,0.375422498749803,2019-01-01,2.5942089094355,977.218413294465,395.4834541613,3619.52802067444,0.5,0.866025403784439,7.00068446269678
"VIIRS",2019,2,0.336015129728652,2019-02-01,2.72788452200842,1264.24819771518,16.9862157742668,2701.03170436905,0.866025403784439,0.5,7.08555783709788
"VIIRS",2019,3,0.32136642575731,2019-03-01,2.7206370989128,1395.62611325458,41.1144643818283,1477.4720228593,1,6.12323399573677e-17,7.16221765913758
"VIIRS",2019,4,0.287689235944897,2019-04-01,1.15605125538908,1559.9894167135,357.418941000018,1226.31912359436,0.866025403784439,-0.5,7.24709103353867
"VIIRS",2019,5,0.305495062609116,2019-05-01,-0.250435452325307,1774.05032277668,971.959168355554,669.179445315211,0.5,-0.866025403784439,7.32922655715264
"VIIRS",2019,6,0.293688094256779,2019-06-01,0.0980227530879454,1543.77882610255,391.836273780259,316.060459092988,1.22464679914735e-16,-1,7.41409993155373
"VIIRS",2019,7,0.279213467526207,2019-07-01,-2.06660524661218,1765.5667517142,1292.41599600541,501.438007094943,-0.5,-0.866025403784439,7.49623545516769
"VIIRS",2019,8,0.314389196744274,2019-08-01,-2.11972830869242,2124.69905816918,1227.71907001773,965.359121235595,-0.866025403784438,-0.5,7.58110882956879
"VIIRS",2019,9,0.384456223242678,2019-09-01,-3.25775431628641,1535.54048434615,1155.56010632827,1845.54521728247,-1,-1.83697019872103e-16,7.66598220396988
"VIIRS",2019,10,0.425282146360123,2019-10-01,-0.709569711596665,1217.79895671372,609.81178175879,2483.69272554468,-0.866025403784439,0.5,7.74811772758385
"VIIRS",2019,11,0.400302853645355,2019-11-01,-0.687573221951572,1245.01178447976,586.731902706473,4111.37305933898,-0.5,0.866025403784438,7.83299110198494
"VIIRS",2019,12,0.428576314156741,2019-12-01,1.10191066062911,1101.68525173786,358.714679788003,3803.02417755166,-2.44929359829471e-16,1,7.9151266255989
"VIIRS",2020,1,0.40564839606179,2020-01-01,2.28064313703134,1016.183379533,66.8403093481702,3606.25606127054,0.5,0.866025403784439,8
